"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2011,"Belém do Piauí","PI","Sociedade de economia mista com administracao publica",1626,NA,1629,117.5,54.42,52.03,NA,NA,NA,122590.34,122590.34,NA,102649.66,18904.14,0,NA,168112.42,NA,NA,NA,NA,NA,NA
2011,"Jurema","PI","Sociedade de economia mista com administracao publica",1605,NA,873,170.73,88.75,95.81,NA,NA,NA,109447.3,109447.3,NA,190610.18,85915.44,0,NA,0,NA,NA,NA,NA,NA,NA
2012,"Amélia Rodrigues","BA","Sociedade de economia mista com administracao publica",19530,NA,19870,933.91,771.66,1028.95,NA,NA,NA,1703420.58,1703420.58,NA,1620129.86,156074.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Andaraí","BA","Sociedade de economia mista com administracao publica",8584,NA,8206,372.85,353,868.91,NA,NA,NA,952531.56,952531.56,NA,995973.23,111977.77,3962.33,NA,15459.63,NA,NA,NA,NA,NA,NA
2016,"Angical","BA","Sociedade de economia mista com administracao publica",6800,NA,6825,288.51,320.82,352.69,NA,NA,NA,1025112.71,1025112.71,NA,1005619.4,200183.78,9137.53,NA,11006.04,NA,NA,NA,0,NA,0
2014,"Antas","BA","Sociedade de economia mista com administracao publica",10852,NA,7067,418.76,435.73,810.78,NA,NA,NA,1114310.93,1114310.93,NA,1185465.68,229828.84,37250.43,NA,41437.71,NA,NA,NA,NA,NA,NA
2016,"Baianópolis","BA","Sociedade de economia mista com administracao publica",3940,NA,3586,187.22,184.83,143.02,NA,NA,NA,720815.55,720815.55,NA,755308.05,55142.09,8994.83,NA,10651.61,NA,NA,NA,0,NA,0
2016,"Bom Jesus da Serra","BA","Sociedade de economia mista com administracao publica",4338,NA,2878,168.57,376.43,48.07,NA,NA,NA,581298.39,581298.39,NA,569391.85,13154.68,16405.97,NA,46898.7,NA,NA,NA,0,NA,0
2016,"Boninal","BA","Sociedade de economia mista com administracao publica",5824,NA,4937,204.02,227.57,91.34,NA,NA,NA,789784.37,789784.37,NA,811689.28,25324.99,10850.9,NA,14031.14,NA,NA,NA,0,NA,0
2014,"Caetité","BA","Sociedade de economia mista com administracao publica",36847,NA,31343,1365.59,1617.3,1983.55,NA,NA,NA,4722177.45,4722177.45,NA,4898420.81,559244.13,246199.17,NA,386409.73,NA,NA,NA,NA,NA,NA
2013,"Conceição do Jacuípe","BA","Sociedade de economia mista com administracao publica",14581,NA,25600,859.75,583.83,860.18,NA,NA,NA,1232010.36,1232010.36,NA,1249592.66,242746.33,32649.37,NA,58622.91,NA,NA,NA,NA,NA,NA
2013,"Governador Mangabeira","BA","Sociedade de economia mista com administracao publica",10516,NA,7906,728.89,437.85,654.42,NA,NA,NA,1064961.19,1064961.19,NA,1103021.09,134400.73,3373.92,NA,16692.92,NA,NA,NA,NA,NA,NA
2013,"Ibipitanga","BA","Sociedade de economia mista com administracao publica",7704,NA,5515,283.3,320.49,566.03,NA,NA,NA,756481.8,756481.8,NA,769134.49,1728.89,5275.63,NA,14882.32,NA,NA,NA,NA,NA,NA
2013,"Ibiquera","BA","Sociedade de economia mista com administracao publica",3341,NA,2609,109.27,130.63,263.73,NA,NA,NA,313843.27,313843.27,NA,324110.47,79315.11,1900.81,NA,5758.86,NA,NA,NA,NA,NA,NA
2013,"Itaguaçu da Bahia","BA","Sociedade de economia mista com administracao publica",379,NA,2831,15.9,15.3,111,NA,NA,NA,73268.11,73268.11,NA,88354.78,204.14,0,NA,0,NA,NA,NA,NA,NA,NA
2016,"Itapicuru","BA","Sociedade de economia mista com administracao publica",18526,NA,7515,763.6,812.55,564.16,NA,NA,NA,2286571.46,2286571.46,NA,2148905.55,157222.06,48737.3,NA,59682.4,NA,NA,NA,0,NA,0
2016,"Itatim","BA","Sociedade de economia mista com administracao publica",14895,NA,10372,715.07,703.03,947.48,NA,NA,NA,2208277.09,2208277.09,NA,2292085.95,226569.7,7416.57,NA,10783.85,NA,NA,NA,0,NA,0
2014,"Itiruçu","BA","Sociedade de economia mista com administracao publica",9519,NA,10009,206.48,420.61,417.03,NA,NA,NA,918122.87,918122.87,NA,965478.8,83171.83,5463398.66,NA,6079202.49,NA,NA,NA,NA,NA,NA
2014,"Ituberá","BA","Sociedade de economia mista com administracao publica",17619,NA,20948,927.44,806.31,392.76,NA,NA,NA,2217086.21,2217086.21,NA,2338075.41,94006.69,62503.98,NA,69529.99,NA,NA,NA,NA,NA,NA
2013,"Jucuruçu","BA","Sociedade de economia mista com administracao publica",2922,NA,2317,128.18,139.13,56.9,NA,NA,NA,386821.98,386821.98,NA,323614.2,14634.05,8720.05,NA,12777.5,NA,NA,NA,NA,NA,NA
2014,"Marcionílio Souza","BA","Sociedade de economia mista com administracao publica",7709,NA,5546,249.97,327.17,243.95,NA,NA,NA,781347.14,781347.14,NA,811113.47,55231.09,999342.04,NA,1111677.09,NA,NA,NA,NA,NA,NA
2014,"Mirante","BA","Sociedade de economia mista com administracao publica",2792,NA,1736,89.47,103.02,69.43,NA,NA,NA,275392.81,275392.81,NA,295702.8,19240.62,33606.62,NA,37384.31,NA,NA,NA,NA,NA,NA
2013,"Nazaré","BA","Sociedade de economia mista com administracao publica",24824,NA,24413,1077.87,1140.06,627.62,NA,NA,NA,3065556.77,3065556.77,NA,3169773.13,109885.18,50641.34,NA,86253.78,NA,NA,NA,NA,NA,NA
2012,"Nilo Peçanha","BA","Sociedade de economia mista com administracao publica",3626,NA,3154,160.76,163.37,16.87,NA,NA,NA,469047.65,469047.65,NA,418754.05,6915.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Presidente Dutra","BA","Sociedade de economia mista com administracao publica",14672,NA,9663,751.17,716.81,2334.75,NA,NA,NA,1730707.14,1730707.14,NA,1783463.33,464421.83,43251.06,NA,48112.87,NA,NA,NA,NA,NA,NA
2014,"Santa Bárbara","BA","Sociedade de economia mista com administracao publica",12480,NA,9383,909.33,670.49,1003.48,NA,NA,NA,1413327.96,1413327.96,NA,1505538.96,444327.74,39849.22,NA,44328.63,NA,NA,NA,NA,NA,NA
2013,"Wenceslau Guimarães","BA","Sociedade de economia mista com administracao publica",9363,NA,7801,436.53,390.97,285.45,NA,NA,NA,866768.94,866768.94,NA,885333.29,89168.4,16649.74,NA,32287.17,NA,NA,NA,NA,NA,NA
