"ano","id_municipio","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2007,"2907806","Cícero Dantas","BA","Sociedade de economia mista com administracao publica",18103,NA,16889,977.12,805.38,2204.51,NA,NA,NA,992949.32,992949.32,0,935399.68,601763.67,0,0,0,NA,NA,NA,NA,NA,NA
2010,"2909802","Cruz das Almas","BA","Sociedade de economia mista com administracao publica",50919,672,49885,2428.78,2315.33,3339.83,NA,NA,0,4246018,4246018,0,4596712,496006,NA,8668000,NA,NA,NA,NA,NA,NA,NA
2009,"2917102","Itororó","BA","Administracao publica direta",NA,13740,18607,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,0
2007,"2926509","Ribeira do Amparo","BA","Sociedade de economia mista com administracao publica",1452,NA,1925,75.56,67.24,29.54,NA,NA,NA,88207.92,88207.92,0,111719.8,12105.67,0,0,0,NA,NA,NA,NA,NA,NA
2008,"2102606","Cândido Mendes","MA","Sociedade de economia mista com administracao publica",3181,NA,11445,373.24,104.24,107.92,NA,NA,NA,87445.83,87445.83,0,107494.54,36804.91,8435.86,0,12644.4,NA,NA,NA,NA,NA,NA
2008,"2108504","Pindaré-Mirim","MA","Sociedade de economia mista com administracao publica",12315,NA,22742,1634.54,506.52,776.49,NA,NA,NA,546817.08,546817.08,0,672185.88,264823.06,52751.21,0,79068.07,NA,NA,NA,NA,NA,NA
2008,"2113009","Vitorino Freire","MA","Sociedade de economia mista com administracao publica",3502,NA,15407,590.66,126.77,627.88,NA,NA,NA,133233.09,133233.09,0,163779.46,214138.04,12852.94,0,19265.1,NA,NA,NA,NA,NA,NA
2007,"2201101","Avelino Lopes","PI","Sociedade de economia mista com administracao publica",6151,NA,6341,559,224,119.4,NA,NA,NA,355659.1,355659.1,0,382807.23,56243.92,0,0,0,NA,NA,NA,NA,NA,NA
2007,"2201309","Barreiras do Piauí","PI","Sociedade de economia mista com administracao publica",1733,NA,1875,209,65,62.49,NA,NA,NA,110489.39,110489.39,0,113099.32,29583.24,0,0,0,NA,NA,NA,NA,NA,NA
2008,"2202752","Colônia do Gurguéia","PI","Sociedade de economia mista com administracao publica",2786,NA,4666,361.54,118.11,93.7,NA,NA,NA,248275.83,248275.83,0,201127.87,43502.25,0,0,0,NA,NA,NA,NA,NA,NA
