"ano","id_municipio","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2021,"2910859","Filadélfia","BA","Administracao publica direta",NA,7518,8792,NA,NA,NA,1,0,0,0.5,NA,0.5,1,1,NA,NA,NA,0,205485.64,205485.64,NA,NA,NA
2020,"2102325","Buriticupu","MA","Administracao publica direta",NA,34567,40038,NA,NA,NA,800,0,0,772036,NA,772036,783886,378870.66,NA,NA,NA,313481,413481,1140343,113481,13481,354024
2020,"2110302","Santo Antônio dos Lopes","MA","Administracao publica direta",NA,14288,5826,NA,NA,NA,NA,1000,0,1e+06,NA,5e+05,1400000,20000,NA,NA,NA,130000,170000,1001000,NA,NA,NA
2012,"2927606","Santa Brígida","BA","Administracao publica direta",NA,5476,5476,NA,NA,NA,3,180,0,50000,NA,50000,75000,0,NA,NA,NA,80000,0,80000,0,15923809,15923809
2015,"2103752","Davinópolis","MA","Administracao publica direta",NA,500,10549,NA,NA,NA,27,0,17,10000,NA,10000,22000,26000,NA,NA,NA,380000,12000,474000,0,0,0
2018,"2916807","Itarantim","BA","Administracao publica direta",NA,17314,16216,NA,NA,NA,200,1,0,2e+06,NA,2e+06,2400000,150000,NA,NA,NA,15000,2e+05,215000,150000,0,3e+05
2014,"2933604","Xique-Xique","BA","Autarquia",45562,5880,34452,3000,3000,800,1,0,312,2364739.18,2293797,70942.18,2364739.18,211450.39,1e+05,0,120000,140000,0,140000,0,0,0
2016,"2928505","Santa Teresinha","BA","Administracao publica direta",NA,2400,2569,NA,NA,NA,10,0,0,40000,NA,40000,30000,0,NA,NA,NA,50000,30000,172000,0,0,0
2016,"2102358","Buritirana","MA","Administracao publica direta",14500,4500,4246,550,380,120,50,80,60,80000,75000,5000,80000,7800,NA,NA,NA,680000,5e+05,1247000,NA,NA,NA
2017,"2916807","Itarantim","BA","Administracao publica direta",NA,20314,16767,NA,NA,NA,NA,1,0,4e+06,NA,4e+06,4700000,504000,NA,NA,NA,80000,1e+05,330000,3e+05,0,550000
2014,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",793426,160691,792415,95959.63,48400.81,60488.43,2283.14,6714.08,9581.08,160486437.56,136477780.37,24008657.19,176592924.83,15787417.58,0,0,51747.19,2495850.29,1098143.78,3593994.07,560774.35,362483.82,923258.17
2022,"2915106","Itagi","BA","Administracao publica direta",NA,10500,NA,NA,NA,NA,NA,0,0,45800,NA,3800,50000,2000,NA,NA,NA,12000,40000,108000,NA,NA,NA
2022,"2919108","Lamarão","BA","Administracao publica direta",NA,800,NA,NA,NA,NA,1,0,0,40000,NA,40000,40000,1000,NA,NA,NA,2e+05,3e+05,6e+05,0,0,NA
2020,"2103554","Conceição do Lago-Açu","MA","Administracao publica direta",NA,16400,7804,NA,NA,NA,NA,1000,0,1e+06,NA,5e+05,1400000,20000,NA,NA,NA,130000,170000,1001000,NA,NA,NA
2013,"2902104","Araci","BA","Administracao publica direta",NA,21503,21160,NA,NA,NA,NA,443.53,0,150000,NA,150000,162000,25913,NA,NA,NA,68846,156910,225756,0,0,0
2018,"2102358","Buritirana","MA","Administracao publica direta",14500,4500,4317,550,380,NA,50,80,60,80000,75000,5000,80000,7800,NA,NA,NA,680000,5e+05,1247000,NA,NA,NA
2010,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",752060,123923,767557,94343,41138,15064.49,3459.5,5211,8861,124973761.91,108109303.6,16864458.31,110900593.11,15737641.24,26501420.57,117151053.09,146138004.62,4372443.29,225700.54,6720660.66,7228471.61,0,7228471.61
2013,"2900603","Aiquara","BA","Administracao publica direta",NA,4767,2776,NA,NA,NA,NA,0,0,255000,NA,255000,217000,3850,NA,NA,NA,0,60000,86500,NA,NA,NA
2017,"2105989","Lajeado Novo","MA","Administracao publica direta",2000,900,3455,100,110,15,15,130,90,90000,30000,15000,60000,35000,NA,NA,NA,30000,30000,120000,0,0,0
2015,"2105989","Lajeado Novo","MA","Administracao publica direta",2000,900,3395,100,110,15,NA,130,90,90000,30000,15000,60000,35000,NA,NA,NA,30000,30000,120000,0,0,0
2020,"2916807","Itarantim","BA","Administracao publica direta",NA,18377,16378,NA,NA,NA,217,0,0,10000,NA,10000,11000,4800,NA,NA,NA,0,8e+05,830000,0,0,0
2015,"2928505","Santa Teresinha","BA","Administracao publica direta",NA,2200,2561,NA,NA,NA,10,0,0,40000,NA,40000,30000,0,NA,NA,NA,50000,30000,172000,NA,NA,NA
2016,"2109551","Ribamar Fiquene","MA","Administracao publica direta",3600,1500,3845,2200,0,NA,0,0,0,82000,52000,30000,43000,1000,NA,NA,NA,2700,12000,29700,0,0,0
2016,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",845066,199083,798854,99985.16,49742.87,47322.3,5055.08,6439.77,10335.29,191755286.33,162908164.84,28847121.49,191029765.73,22760128.17,623724.76,81209.76,1713520.49,456135.28,0,456135.28,0,0,0
2021,"2924603","Pindobaçu","BA","Autarquia",20048,3120,11196,1360,880,280,0,0,0,331001,331000,1,336006,34300,32000,0,32000,35000,0,35000,0,0,0
2021,"2203800","Flores do Piauí","PI","Administracao publica direta",NA,500,2030,NA,NA,NA,1,0,0,310000,NA,310000,210000,5000,NA,NA,NA,2400000,0,2420000,0,0,0
2020,"2902104","Araci","BA","Administracao publica direta",NA,20000,20777,NA,NA,NA,NA,0,0,2e+05,NA,2e+05,85760,0,NA,NA,NA,90000,6e+05,1599000,NA,0,0
2020,"2912301","Ibicuí","BA","Administracao publica direta",NA,14184,12301,NA,NA,NA,217,0,0,178000,NA,178000,178000,3800,NA,NA,NA,0,178000,178000,0,0,0
2020,"2915106","Itagi","BA","Administracao publica direta",NA,12242,9577,NA,NA,NA,NA,0,0,35000,NA,2000,37000,1300,NA,NA,NA,8000,26000,74000,0,0,0
2018,"2105989","Lajeado Novo","MA","Administracao publica direta",2000,900,3458,100,110,15,15,130,90,90000,30000,15000,60000,35000,NA,NA,NA,30000,30000,120000,0,0,0
2011,"2909208","Coronel João Sá","BA","Administracao publica direta",NA,6956,6956,NA,NA,NA,25,0,0,10000,NA,10000,13000,45800,NA,NA,NA,20000,5000,291600,0,0,0
2019,"2912301","Ibicuí","BA","Administracao publica direta",NA,14145,12277,NA,NA,NA,NA,0,0,40000,NA,40000,40000,2500,NA,NA,NA,65000,40000,105000,NA,NA,NA
2021,"2916500","Itapicuru","BA","Administracao publica direta",NA,36173,7484,NA,NA,NA,NA,504,0,40322.45,NA,10080,68000,653496.2,NA,NA,NA,0,303578.41,303578.41,0,0,0
2015,"2109551","Ribamar Fiquene","MA","Administracao publica direta",3600,3000,3823,2200,0,32,NA,0,0,82000,52000,30000,0,1000,NA,NA,NA,27000,12000,54000,0,0,0
2022,"2105203","Igarapé Grande","MA","Administracao publica direta",NA,3600,NA,NA,NA,NA,NA,0,0,66000,NA,66000,87000,2600,NA,NA,NA,15000,15000,62000,NA,NA,NA
2018,"2112852","Vila Nova dos Martírios","MA","Administracao publica direta",10150,2800,7246,120,120,12,NA,50,50,1e+05,70000,30000,120000,20000,NA,NA,NA,380000,150000,730000,NA,NA,NA
2019,"2907905","Cipó","BA","Administracao publica direta",NA,4068,12394,NA,NA,NA,1,0,0,6002,NA,4002,2,0,NA,NA,NA,50000,15000,170000,0,0,0
2021,"2200806","Antônio Almeida","PI","Administracao publica direta",NA,3109,2324,NA,NA,NA,10,0,0,1200,NA,1200,1200,40,NA,NA,NA,10000,5000,33000,0,0,0
2018,"2206696","Murici dos Portelas","PI","Administracao publica direta",NA,3600,1817,NA,NA,NA,NA,186.15,232.69,30000,NA,30000,0,0,NA,NA,NA,180000,30000,210000,0,0,0
2013,"2201606","Beneditinos","PI","Administracao publica direta",NA,10014,6326,NA,NA,NA,10,1000,0,10,NA,10,10,10000,NA,NA,NA,2000,2000,6500,0,0,0
2016,"2105989","Lajeado Novo","MA","Administracao publica direta",2000,900,3427,100,110,15,15,130,90,90000,30000,15000,60000,35000,NA,NA,NA,30000,30000,120000,0,0,0
2018,"2112233","Trizidela do Vale","MA","Administracao publica direta",NA,15796,18671,NA,NA,NA,NA,1,0,300,NA,300,200,125098.95,NA,NA,NA,6000,3000,20000,NA,NA,NA
2016,"2929503","São Sebastião do Passé","BA","Administracao publica direta",NA,35867,35867,NA,NA,NA,NA,0,0,3e+05,NA,3e+05,350000,80000,NA,NA,NA,150000,2e+05,670000,NA,NA,NA
2013,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",776233,149513,788527,94971.67,48163.82,58195.2,3635.03,6310.33,9456.29,161950870.48,139035697.38,22915173.1,162700061.57,13887026.67,646559.74,1692336.03,4944224.82,399860.44,1763060.13,4287865.3,0,0,0
2020,"2910750","Fátima","BA","Administracao publica direta",NA,8000,6992,NA,NA,NA,NA,0,0,3,NA,2,3,5,NA,NA,NA,0,228725.81,228725.81,0,0,0
2021,"2915106","Itagi","BA","Administracao publica direta",NA,10200,9497,NA,NA,NA,NA,0,0,41000,NA,3000,44000,1800,NA,NA,NA,10000,30000,88000,0,0,0
2018,"2915353","Itaguaçu da Bahia","BA","Administracao publica direta",NA,1000,2815,NA,NA,NA,0.01,0,0,1000,NA,1000,800,0.01,NA,NA,NA,720000,0,720000,NA,NA,NA
2020,"2924603","Pindobaçu","BA","Autarquia",19706,3120,11224,1350,876,278,0,0,0,328001,328000,1,333000,33000,21000,0,21000,2150000,0,2150000,0,0,0
2017,"2925808","Queimadas","BA","Administracao publica direta",NA,13276,13482,NA,NA,NA,0,0,0,22000,NA,22000,0,0,NA,NA,NA,0,26000,126000,0,0,0
2016,"2931509","Teofilândia","BA","Administracao publica direta",NA,4000,7264,NA,NA,NA,1,0,0,4120.77,NA,1510.54,5673.45,576.98,NA,NA,NA,14245.3,1578.25,60626.1,NA,NA,NA
2020,"2200806","Antônio Almeida","PI","Administracao publica direta",NA,3109,2320,NA,NA,NA,10,0,0,600,NA,600,800,20,NA,NA,NA,10000,5000,33000,0,0,0
2012,"2900603","Aiquara","BA","Administracao publica direta",NA,4536,2642,NA,NA,NA,NA,0,0,250000,NA,250000,210000,3800,NA,NA,NA,0,50000,66000,NA,NA,NA
2013,"2933604","Xique-Xique","BA","Autarquia",45562,5635,34373,3000,3000,800,1,0,145,2204349.03,2136207.51,68141.52,2029857.03,338445.95,1e+05,20000,140000,1e+05,20000,120000,0,0,0
2012,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",765606,135540,782641,94395.96,46031.68,56223.92,3722.29,6120.03,9195.51,157290236.62,135780383.21,21509853.41,141301772.48,18643398.28,5813854.61,5587855.13,12071029.57,1141458.17,1076239.15,4542402.26,0,0,0
2017,"2209971","São João do Arraial","PI","Administracao publica direta",3937,1150,3959,250,152,40,23,0,0,57000,42000,15000,75000,15000,NA,NA,NA,6500,1500,11300,0,0,0
2014,"2102358","Buritirana","MA","Administracao publica direta",14950,220,4222,1490,1410,2300,2,0,15,9000,8000,1000,11100,36000,NA,NA,NA,505000,10000,828000,0,0,0
2016,"2112852","Vila Nova dos Martírios","MA","Administracao publica direta",10150,2800,7270,120,120,12,NA,50,50,1e+05,70000,30000,120000,20000,NA,NA,NA,380000,150000,730000,NA,NA,NA
2022,"2920007","Maiquinique","BA","Administracao publica direta",NA,6532,NA,NA,NA,NA,0,0,0,50000,NA,50000,0,0,NA,NA,NA,276360,0,276360,NA,NA,NA
2019,"2915106","Itagi","BA","Administracao publica direta",NA,12351,9662,NA,NA,NA,NA,0,0,31000,NA,1000,35000,1000,NA,NA,NA,7000,23000,64000,0,0,0
2011,"2918100","Jeremoabo","BA","Administracao publica direta",NA,26548,17551,NA,NA,NA,10,0,0,10000,NA,10000,13000,15000,NA,NA,NA,48000,75000,268120,0,0,0
2012,"2928406","Santa Rita de Cássia","BA","Autarquia",14907,3360,15136,1135,849,363,26.6,61,77,1103700.51,1008539.05,95161.46,1222109.76,158426,11570.89,0,11570.89,319853.52,NA,3521188.68,NA,NA,NA
2015,"2928406","Santa Rita de Cássia","BA","Autarquia",16265,3360,16368,1305,1105,384.51,38.78,86.45,95.11,1501892.43,1376957.55,124934.88,1783620.01,241635.15,113663.16,0,113663.16,0,0,4226183.2,NA,NA,NA
2015,"2931509","Teofilândia","BA","Administracao publica direta",NA,2400,7168,NA,NA,NA,1,0,0,4024.77,NA,1457.54,5673.45,576.98,NA,NA,NA,13587.98,1457.54,57829.79,NA,NA,NA
2017,"2109551","Ribamar Fiquene","MA","Administracao publica direta",3600,1500,3864,2200,0,NA,0,0,0,82000,52000,30000,43000,1000,NA,NA,NA,2700,12000,29700,0,0,0
2016,"2208205","Pio IX","PI","Administracao publica direta",NA,8000,5418,NA,NA,NA,0,0,0,43200,NA,43200,26000,0,NA,NA,NA,26000,55000,165200,0,0,0
2017,"2112852","Vila Nova dos Martírios","MA","Administracao publica direta",10150,2800,7409,120,120,12,NA,50,50,1e+05,70000,30000,120000,20000,NA,NA,NA,380000,150000,730000,NA,NA,NA
2019,"2200806","Antônio Almeida","PI","Administracao publica direta",NA,3109,2315,NA,NA,NA,10,0,0,600,NA,600,800,10,NA,NA,NA,10000,5000,33000,0,0,0
2009,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",732186,118642,756465,89015,39371,96938.71,3145.2,5932,8339,109815802.33,95291061.92,14524740.41,97448271.59,14678111.16,3643913.09,424708.79,118693485.48,103428.98,624010.21,1454878.38,3940886.92,17694.47,3958581.39
2015,"2107357","Nova Olinda do Maranhão","MA","Administracao publica direta",12643,12643,12643,400,290,30,NA,260,90,90000,60000,10000,65000,40000,NA,NA,NA,20000,20000,70000,0,0,0
2021,"2922102","Mundo Novo","BA","Administracao publica direta",NA,14996,15097,NA,NA,NA,3,0,499,3e+05,NA,3e+05,310000,1000,NA,NA,NA,120000,20000,230000,0,0,0
2011,"2920106","Mairi","BA","Administracao publica direta",NA,19243,11067,NA,NA,NA,NA,0,0,150000,NA,1e+05,1e+05,3000,NA,NA,NA,150000,2e+05,1150000,0,0,0
2016,"2209971","São João do Arraial","PI","Administracao publica direta",3937,1100,3937,152,152,30.72,23,0,0,57000,42000,15000,75000,15000,NA,NA,NA,6500,1500,11300,0,0,0
2022,"2916500","Itapicuru","BA","Administracao publica direta",NA,31679,NA,NA,NA,NA,1000,726,0,45250.5,NA,12550,72300,572308.24,NA,NA,NA,0,310985.72,310985.72,0,0,0
2016,"2925808","Queimadas","BA","Administracao publica direta",NA,13468,13468,NA,NA,NA,0,0,0,15000,NA,15000,0,0,NA,NA,NA,0,20000,1e+05,0,0,0
2011,"2105450","Jatobá","MA","Administracao publica direta",NA,4230,3857,NA,NA,NA,20,142,0,12000,NA,12000,19000,27000,NA,NA,NA,32000,12000,76000,NA,NA,NA
2009,"2207009","Oeiras","PI","Sociedade de economia mista com administracao publica",17495,6935,21460,3851,861,496,231.88,0,339,2367535.22,1877974.58,489560.64,2373347.33,449848.2,12000,0,2494820.2,201290,0,201290,0,0,0
2018,"2903805","Boa Vista do Tupim","BA","Administracao publica direta",NA,18622,6824,NA,NA,NA,NA,0,0,15000,NA,10000,12500,1,NA,NA,NA,10000,10000,40000,0,0,0
2011,"2928406","Santa Rita de Cássia","BA","Autarquia",20900,3290,15006,1094.33,811.4,314,21,107.23,107.23,877287.23,788919.11,88368.12,1036782.05,146477.73,35274.5,6086,41360.5,55304,0,2007406.96,NA,NA,NA
2015,"2929404","São Miguel das Matas","BA","Administracao publica direta",NA,3875,3875,NA,NA,NA,NA,0,0,20000,NA,20000,30000,2000,NA,NA,NA,20000,50000,91000,NA,NA,NA
2018,"2200806","Antônio Almeida","PI","Administracao publica direta",NA,3109,2311,NA,NA,NA,10,0,0,600,NA,600,800,10,NA,NA,NA,10000,5000,33000,0,0,0
2019,"2209971","São João do Arraial","PI","Administracao publica direta",4700,1350,4030,350,152,45,42,0,0,61700,43500,17850,77000,16725,NA,NA,NA,6500,1500,11300,NA,NA,NA
2016,"2200806","Antônio Almeida","PI","Administracao publica direta",NA,3109,2275,NA,NA,NA,10,0,0,600,NA,600,1200,10,NA,NA,NA,10000,5000,33000,0,0,0
2009,"2208007","Picos","PI","Sociedade de economia mista com administracao publica",54813,14454,56642,5839,2916,2454.69,410.14,0,801,7592647.04,6528649.81,1063997.23,7381174.48,1942058.62,240466.28,0,8149522.26,429190,0,429190,0,0,0
2013,"2924207","Pedro Alexandre","BA","Administracao publica direta",NA,2959,2959,NA,NA,NA,NA,200,0,310000,NA,310000,2e+05,2000,NA,NA,NA,1e+05,3e+05,1e+06,10000,10000,130000
2018,"2209971","São João do Arraial","PI","Administracao publica direta",4238,1200,4004,260,152,45,23,0,0,61750,45000,16500,75000,16725,NA,NA,NA,6500,1500,11300,0,0,0
2016,"2911253","Gavião","BA","Administracao publica direta",NA,4740,2638,NA,NA,NA,7,0,0,34000,NA,30000,35000,700,NA,NA,NA,0,0,30000,0,0,0
2021,"2912707","Ibirapitanga","BA","Administracao publica direta",NA,23433,6391,NA,NA,NA,3,0,0,14500,NA,14500,15000,3000,NA,NA,NA,50000,320000,490000,1100000,NA,NA
2017,"2928505","Santa Teresinha","BA","Administracao publica direta",NA,2400,2584,NA,NA,NA,1,0,0,30000,NA,30000,22500,100,NA,NA,NA,50000,2000,218497.04,0,0,0
2011,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",748915,131768,775225,93512.71,42575.91,55876.9,4181.78,6438.62,9284.19,138250154.59,119272687.05,18977467.54,132791559.21,15988765.44,9213597.01,12626173.43,23637864.76,2435814.29,757184.02,3280197.22,NA,NA,NA
2014,"2928406","Santa Rita de Cássia","BA","Autarquia",16265,3360,16265,1202,1002.31,211.11,35.6,66.11,81.45,1434907.43,1316289.11,118618.32,1668285.02,84816.51,196365.83,0,196365.83,0,NA,3521819.34,NA,NA,NA
2013,"2928406","Santa Rita de Cássia","BA","Autarquia",14907,3360,16099,1135,876.42,192.18,30.4,61.67,79.39,1357532.62,1244023.34,113509.28,1465811.66,77284.75,34845.7,0,34845.7,0,NA,3219179.71,NA,NA,NA
2022,"2912707","Ibirapitanga","BA","Administracao publica direta",NA,16378,NA,NA,NA,NA,4,0,0,16500,NA,16500,18000,3500,NA,NA,NA,5000,338000,477000,NA,NA,NA
2018,"2210409","São Miguel do Tapuio","PI","Administracao publica direta",NA,1910,6510,NA,NA,NA,0,0,0,339557,NA,339557,339557,101010.89,NA,NA,NA,25955,0,92455,0,0,0
2012,"2933604","Xique-Xique","BA","Autarquia",45562,1480,32630,3000,3000,780,1,0,145,1550000,1490000,60000,1350000,280000,1e+05,40000,180000,1e+05,40000,180000,0,0,0
2022,"2106508","Matinha","MA","Administracao publica direta",NA,9534,NA,NA,NA,NA,NA,0,0,11000,NA,11000,17000,23000,NA,NA,NA,1154284.23,0,1200884.23,NA,NA,NA
2022,"2200806","Antônio Almeida","PI","Administracao publica direta",NA,2387,NA,NA,NA,NA,12,0,0,1475,NA,1475,1475,40,NA,NA,NA,10050,5500,32750,0,0,0
2009,"2103307","Codó","MA","Autarquia",58902,12064,78527,8548,5095,2668,483,0,504,3719995,3519601,200394,3749766,934915,68907,3924,72831,68907,3924,72831,0,0,0
2014,"2109551","Ribamar Fiquene","MA","Administracao publica direta",3750,3000,3800,2100,0,32,NA,0,0,70000,45000,25000,0,10000,NA,NA,NA,25000,10000,47000,0,0,0
2014,"2203453","Dom Inocêncio","PI","Administracao publica direta",2047,2047,2047,100,7.2,100,2,1,3,220000.2,120000,0.1,0,40000,NA,NA,NA,50000,0,1e+05,0,0,0
2020,"2106508","Matinha","MA","Administracao publica direta",NA,9531,9531,NA,NA,NA,NA,0,0,11000,NA,11000,15000,50000,NA,NA,NA,167898787,0,193466631,NA,NA,NA
2015,"2911253","Gavião","BA","Administracao publica direta",NA,2622,2622,NA,NA,NA,NA,0,0,85000,NA,80000,43000,800,NA,NA,NA,0,0,80000,0,0,0
2022,"2920106","Mairi","BA","Administracao publica direta",NA,9272,NA,NA,NA,NA,NA,0,0,3e+05,NA,2e+05,4e+05,20000,NA,NA,NA,50000,5e+05,750000,NA,NA,NA
2019,"2112233","Trizidela do Vale","MA","Administracao publica direta",NA,19700,18768,NA,NA,NA,NA,1,0,300,NA,300,200,125098.95,NA,NA,NA,6000,3000,20000,NA,0,0
2017,"2102358","Buritirana","MA","Administracao publica direta",14500,4500,4257,550,380,120,50,80,60,80000,75000,5000,80000,7800,NA,NA,NA,680000,5e+05,1247000,NA,NA,NA
2017,"2200806","Antônio Almeida","PI","Administracao publica direta",NA,3109,2279,NA,NA,NA,10,0,0,600,NA,600,800,10,NA,NA,NA,10000,5000,33000,0,0,0
2016,"2903607","Biritinga","BA","Administracao publica direta",NA,2365,3942,NA,NA,NA,0,0,0,2e+05,NA,2e+05,0,432000,NA,NA,NA,632000,10000,832000,0,0,0
2016,"2907202","Casa Nova","BA","Autarquia",59000,27000,42086,6043,1825.46,195.6,86.45,1280,1350,3989001.35,2893646.66,812354.69,4054115,95874.62,120000,10000,160000,70000,90000,420000,84000,60000,217000
2021,"2106508","Matinha","MA","Administracao publica direta",NA,9534,9575,NA,NA,NA,NA,0,0,11000,NA,11000,15000,20000,NA,NA,NA,167898787,0,167924354,NA,NA,NA
2015,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",825015,168521,795851,93743.44,49159.27,54403.53,3822.11,6542.61,10300.72,170745261.86,145547912.62,25197349.24,184213006.58,19819097.42,945306.9,660622.2,2449542.19,674172.91,1983741.16,3013173.98,0,0,0
2020,"2912707","Ibirapitanga","BA","Administracao publica direta",NA,10302,6383,NA,NA,NA,1,0,0,10000,NA,10000,11000,1000,NA,NA,NA,40000,2e+05,330000,1400000,0,NA
2017,"2912301","Ibicuí","BA","Administracao publica direta",NA,14200,12730,NA,NA,NA,80,53,0,1193089,NA,1193088,1312396,50000,NA,NA,NA,0,50000,137000,1e+05,3e+05,550000
2017,"2210409","São Miguel do Tapuio","PI","Administracao publica direta",NA,1910,6403,NA,NA,NA,0,0,0,58811.82,NA,58811.82,58811.82,580.6,NA,NA,NA,0,0,10470.4,0,0,0
2020,"2101905","Bequimão","MA","Administracao publica direta",16700,NA,6916,505,0,459,NA,NA,NA,0,0,NA,0,181000,NA,NA,NA,98000,66410,410920,0,0,0
2017,"2201572","Belém do Piauí","PI","Administracao publica direta",700,NA,1710,14.6,0,12,NA,NA,NA,0,0,NA,0,8052,NA,NA,NA,45000,0,45000,0,0,0
2019,"2205599","Lagoa do Sítio","PI","Administracao publica direta",4520,NA,1839,235.5,235.5,NA,NA,NA,NA,109800,109800,NA,157800,80000,NA,NA,NA,250000,0,250000,NA,NA,NA
2017,"2205540","Lagoinha do Piauí","PI","Administracao publica direta",2796,NA,1665,268,0,NA,NA,NA,NA,0,0,NA,0,72000,NA,NA,NA,25000,3000,108000,0,0,0
2012,"2101731","Belágua","MA","Administracao publica direta",1400,NA,3494,80,60,8,NA,NA,NA,0,0,NA,0,4000,NA,NA,NA,14000,0,14000,0,0,0
2014,"2201770","Boa Hora","PI","Administracao publica direta",3500,NA,1588,385,0,380,NA,NA,NA,47000,47000,NA,4700,59000,NA,NA,NA,70000,0,113000,0,0,0
2022,"2202026","Buriti dos Montes","PI","Administracao publica direta",6938,NA,NA,1218,963,382,NA,NA,NA,0,0,NA,0,66910.94,NA,NA,NA,31700,0,31700,0,0,0
2021,"2111078","São João do Soter","MA","Administracao publica direta",18746,NA,7227,1735.36,1404.81,852,NA,NA,NA,944800,944800,NA,600500,366285.09,NA,NA,NA,7038.86,0,7038.86,0,0,0
2019,"2201770","Boa Hora","PI","Administracao publica direta",3600,NA,1641,385,0,380,NA,NA,NA,0,0,NA,0,60000,NA,NA,NA,20000,0,70000,NA,NA,NA
2011,"2201051","Assunção do Piauí","PI","Administracao publica direta",7503,NA,3398,312.48,0,500,NA,NA,NA,88704,88704,NA,34064,114283,NA,NA,NA,22000,0,44000,0,0,0
2016,"2111052","São João do Paraíso","MA","Autarquia",5550,NA,5349,650,510,NA,NA,NA,NA,380100,380000,NA,627762.04,74000,11000,1100,16700,15000,NA,20634,6000,NA,NA
2016,"2201556","Bela Vista do Piauí","PI","Administracao publica direta",3934,NA,1294,114.87,0,0,NA,NA,NA,0,0,NA,0,80000,NA,NA,NA,150000,0,150000,0,0,0
2014,"2206753","Nossa Senhora de Nazaré","PI","Administracao publica direta",2800,NA,1413,250,0,NA,NA,NA,NA,0,0,NA,0,5000,NA,NA,NA,4500,0,14500,0,0,0
2022,"2205565","Lagoa do Barro do Piauí","PI","Administracao publica direta",4658,NA,NA,273.51,0,165.18,NA,NA,NA,0,0,NA,0,228799.51,NA,NA,NA,2637703.34,0,2637703.34,0,0,0
2017,"2111748","Senador Alexandre Costa","MA","Administracao publica direta",11042,NA,6636,238.4,0,75.45,NA,NA,NA,0,0,NA,0,60922,NA,NA,NA,28756,0,28756,NA,NA,NA
2019,"2200277","Alegrete do Piauí","PI","Administracao publica direta",4900,NA,2706,81,0,130,NA,NA,NA,0,0,NA,0,129450,NA,NA,NA,0,1e+05,1e+05,0,0,0
2019,"2201556","Bela Vista do Piauí","PI","Administracao publica direta",3950,NA,1321,760,0,30,NA,NA,NA,0,0,NA,0,35000,NA,NA,NA,19000,0,19000,0,0,0
2012,"2914505","Irará","BA","Administracao publica direta",12983,NA,11388,328,0,636,NA,NA,NA,0,0,NA,0,154111,NA,NA,NA,7800,0,7800,NA,NA,NA
2014,"2101731","Belágua","MA","Administracao publica direta",1600,NA,3597,80,60,80,NA,NA,NA,0,0,NA,0,4000,NA,NA,NA,14000,0,14000,0,0,0
2022,"2105963","Lagoa Grande do Maranhão","MA","Administracao publica direta",11411,NA,NA,423.86,0,446.76,NA,NA,NA,0,0,NA,0,384213.71,NA,NA,NA,108349.8,0,108349.8,NA,NA,NA
2020,"2914505","Irará","BA","Administracao publica direta",16573,NA,11945,1100,0,NA,NA,NA,NA,0,0,NA,0,211982.95,NA,NA,NA,333511.66,0,333511.66,NA,NA,NA
2021,"2100709","Anajatuba","MA","Administracao publica direta",9626,NA,7536,3300,110,NA,NA,NA,NA,460000,460000,NA,460787,150000,NA,NA,NA,150000,0,175000,0,0,0
2022,"2929057","São Félix do Coribe","BA","Autarquia",15194,NA,NA,866.12,950.7,88,NA,NA,NA,3456076.35,3456076.35,NA,3456076.35,426956.11,206432.99,0,206432.99,206432.99,0,206432.99,0,0,0
2021,"2105153","Igarapé do Meio","MA","Administracao publica direta",14324,NA,7157,880,0,NA,NA,NA,NA,0,0,NA,0,2e+05,NA,NA,NA,9e+05,4e+05,1700000,0,0,0
2019,"2106359","Marajá do Sena","MA","Administracao publica direta",4126,NA,1121,1610.62,0,621.5,NA,NA,NA,0,0,NA,0,54735.2,NA,NA,NA,43364,0,43364,0,0,0
2012,"2111078","São João do Soter","MA","Administracao publica direta",13718,NA,6786,1249.59,928.57,695,NA,NA,NA,428208,428208,NA,575502,85000,NA,NA,NA,320000,0,320000,840000,0,2195611.75
2015,"2202539","Caraúbas do Piauí","PI","Administracao publica direta",3572,NA,1008,344,163,0,NA,NA,NA,49534,49034,NA,42034,13240,NA,NA,NA,523,0,1674,0,0,0
2014,"2202653","Caxingó","PI","Administracao publica direta",5100,NA,1006,300,142,NA,NA,NA,NA,30000,30000,NA,43000,8120,NA,NA,NA,422,0,1439,0,0,0
