"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2004,"Chapadinha","MA","Sociedade de economia mista com administracao publica",NA,0,38620,NA,NA,NA,NA,NA,NA,1904725.86,NA,0,950890.59,161886.23,NA,0,0,NA,NA,NA,NA,NA,NA
2005,"Conceição do Lago-Açu","MA","Sociedade de economia mista com administracao publica",NA,0,4708,NA,NA,NA,0,0,0,126921.22,NA,0,122361.57,45886.95,NA,0,1879.15,NA,NA,NA,NA,NA,NA
2006,"Fortuna","MA","Sociedade de economia mista com administracao publica",NA,0,8678,NA,NA,NA,0,0,0,252920.77,NA,0,226213.98,325815.92,NA,0,37670.57,NA,NA,NA,NA,NA,NA
2004,"Lago Verde","MA","Sociedade de economia mista com administracao publica",NA,0,5080,NA,NA,NA,NA,NA,NA,42931.77,NA,0,40960.28,31497.28,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Loreto","MA","Sociedade de economia mista com administracao publica",NA,0,4923,NA,NA,NA,0,0,0,150981,NA,0,148159,42533,NA,0,24165,NA,NA,NA,NA,NA,NA
2006,"Peri Mirim","MA","Sociedade de economia mista com administracao publica",NA,0,3099,NA,NA,NA,0,0,0,55802.32,NA,0,49909.96,54468.12,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Santa Quitéria do Maranhão","MA","Sociedade de economia mista com administracao publica",NA,0,13330,NA,NA,NA,0,0,0,273869.19,NA,0,244950.39,103751.98,NA,0,0,NA,NA,NA,NA,NA,NA
2005,"Santo Antônio dos Lopes","MA","Sociedade de economia mista com administracao publica",NA,0,5297,NA,NA,NA,0,0,0,184547.73,NA,0,210999.54,112396.08,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"São João Batista","MA","Sociedade de economia mista com administracao publica",NA,0,3868,NA,NA,NA,NA,NA,NA,0,NA,0,0,38653.97,NA,0,0,NA,NA,NA,NA,NA,NA
2005,"Urbano Santos","MA","Sociedade de economia mista com administracao publica",NA,0,10618,NA,NA,NA,0,0,0,6107.26,NA,0,1654.39,13930.24,NA,0,83155.71,NA,NA,NA,NA,NA,NA
2004,"Aroazes","PI","Sociedade de economia mista com administracao publica",NA,0,3222,NA,NA,NA,NA,NA,NA,127729,NA,0,144332.9,30488,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Capitão de Campos","PI","Sociedade de economia mista com administracao publica",NA,0,5619,NA,NA,NA,0,0,0,181413,NA,0,149499,96364,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Patos do Piauí","PI","Sociedade de economia mista com administracao publica",NA,0,1237,NA,NA,NA,NA,NA,NA,48302.8,NA,0,41537.63,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Sebastião Leal","PI","Sociedade de economia mista com administracao publica",NA,0,1433,NA,NA,NA,NA,NA,NA,76378.86,NA,0,63401.69,17517.74,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Amargosa","BA","Sociedade de economia mista com administracao publica",NA,0,21945,NA,NA,NA,NA,NA,NA,1291483.42,NA,0,1280594.33,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Capela do Alto Alegre","BA","Sociedade de economia mista com administracao publica",NA,0,3508,NA,NA,NA,NA,NA,NA,534693.62,NA,0,324704.85,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Conceição do Almeida","BA","Sociedade de economia mista com administracao publica",NA,0,8438,NA,NA,NA,NA,NA,NA,441053.85,NA,0,426247.66,41757.09,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Guaratinga","BA","Sociedade de economia mista com administracao publica",NA,0,9677,NA,NA,NA,NA,NA,NA,512975.09,NA,0,452963.28,39493.12,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Jeremoabo","BA","Sociedade de economia mista com administracao publica",NA,0,13664,NA,NA,NA,NA,NA,NA,1018696.94,NA,0,957421.9,130796.2,NA,0,0,NA,NA,NA,NA,NA,NA
